Isolate.name,predicted_MLST.CC,fin_score,predicted_mlst_is_correct,predicted_mlst_is_single
45370_GCA_020997495_1,CC5,0.951216056670603,TRUE,TRUE
45371_GCA_020997535_1,CC5,0.950973182661494,TRUE,TRUE
45450_GCA_903932605_1,CC5,0.958704671951425,TRUE,TRUE
45474_8796_MF_001,CC8,0.874015854275594,TRUE,TRUE
45475_8796_MF_002,CC12,0.881160398043515,TRUE,TRUE
45476_8796_MF_003,CC8,0.852015516950582,TRUE,TRUE
45477_8796_MF_004,CC8,0.847090571765896,TRUE,TRUE
45478_8796_MF_005,CC398/CC5561,0.861865407319953,TRUE,TRUE
45479_8796_MF_006,CC8,0.876289424860853,TRUE,TRUE
45480_8796_MF_007,CC30,0.826014504975544,TRUE,TRUE
45481_8796_MF_008,CC30,0.840344071512903,TRUE,TRUE
45482_8796_MF_009,CC8,0.834778208804183,TRUE,TRUE
45483_8796_MF_010,CC8,0.849681227863046,TRUE,TRUE
45484_8796_MF_011,CC5,0.928264462809917,TRUE,TRUE
45485_8796_MF_012,CC8,0.866587957497048,TRUE,TRUE
45486_8796_MF_013,CC1,0.8761679878563,TRUE,TRUE
45487_8796_MF_014,CC15,0.895597908584921,TRUE,TRUE
45488_8796_MF_015,CC45,0.840128183504806,TRUE,TRUE
45489_8796_MF_016,CC8,0.878664192949907,TRUE,TRUE
45490_8796_MF_017,CC8,0.830629111148591,TRUE,TRUE
45491_8796_MF_018,CC15,0.869165120593692,TRUE,TRUE
45492_8796_MF_019,CC30,0.864111991904199,TRUE,TRUE
45493_8796_MF_020,CC5,0.920964749536178,TRUE,TRUE
45494_8796_MF_021,CC59,0.866466520492494,TRUE,TRUE
45495_8796_MF_022,CC8,0.883656603137122,TRUE,TRUE
45496_8796_MF_023,CC789,0.871310507674144,TRUE,TRUE
45497_8796_MF_024,CC5,0.833260246247259,TRUE,TRUE
45498_8796_MF_025,CC5,0.738336987687637,TRUE,TRUE
45499_8796_MF_026,CC72,0.849795918367347,TRUE,TRUE
45500_8796_MF_027,CC15,0.868821049080789,TRUE,TRUE
45501_8796_MF_028,CC45,0.835486591330747,TRUE,TRUE
45502_8796_MF_029,CC78,0.508942486085343,FALSE,TRUE
45503_8796_MF_030,CC30,0.830844999156687,TRUE,TRUE
45504_9153_MF_89,CC15,0.868821049080789,TRUE,TRUE
45505_9153_MF_90,CC5,0.933439028503963,TRUE,TRUE
45506_9153_MF_91,CC30,0.85940293472761,TRUE,TRUE
45507_9153_MF_92,CC15,0.859160060718502,TRUE,TRUE
45508_9153_MF_93,CC1,0.883845505144207,TRUE,TRUE
45509_9153_MF_94,CC5,0.951054140664531,TRUE,TRUE
45510_9153_MF_95,CC1,0.908348794063079,TRUE,TRUE
45511_9153_MF_96,CC398/CC5561,0.881362793051105,TRUE,TRUE
45512_9153_MF_97,CC72,0.871782762691853,TRUE,TRUE
45513_9153_MF_98,CC8,0.878880080958003,TRUE,TRUE
45514_9153_MF_99,CC8,0.864111991904199,TRUE,TRUE
45515_9153_MF_100,CC59,0.87337493675156,TRUE,TRUE
45516_9153_MF_101,CC8,0.852244897959184,TRUE,TRUE
45517_9153_MF_102,CC5,0.948557935570923,TRUE,TRUE
45518_9153_MF_103,CC15,0.848500590318772,TRUE,TRUE
45519_9153_MF_104,CC5,0.92842637881599,TRUE,TRUE
45520_9153_MF_105,CC72,0.883757800640917,TRUE,TRUE
45521_9153_MF_106,CC398/CC5561,0.868949232585596,TRUE,TRUE
45522_9153_MF_107,CC59,0.864111991904199,TRUE,TRUE
45523_9153_MF_108,CC8,0.866466520492494,TRUE,TRUE
45524_9153_MF_109,CC8,0.893067970990049,TRUE,TRUE
45525_9153_MF_110,CC15,0.842314049586777,TRUE,TRUE
45526_9153_MF_111,CC97,0.886044864226682,TRUE,TRUE
45527_9153_MF_112,CC5,0.933364817001181,TRUE,TRUE
45528_9153_MF_113,CC5,0.940947883285545,TRUE,TRUE
45529_9153_MF_114,CC97,0.866466520492494,TRUE,TRUE
45530_9153_MF_115,CC59,0.741130038792376,TRUE,TRUE
45531_9153_MF_116,CC59,0.745258896947209,TRUE,TRUE
45532_9153_MF_117,CC1,0.905920053972002,TRUE,TRUE
45533_9153_MF_118,CC8,0.871175577669084,TRUE,TRUE
45534_9153_MF_119,CC1,0.915918367346938,TRUE,TRUE
45535_9153_MF_120,CC30,0.85928824422331,TRUE,TRUE
