barcode_id,snps_type,snps_used,max_reads_used,call_type,fin_score,proportion_matched,proportion_scheme_found,estimated_coverage,predicted_MLST.CC,reads_w_result,Isolate.name,ST/CC,MRSA,PVL,Linked,Linked Isolate,CC,predicted_mlst_is_single,predicted_mlst_is_correct
1,random_400,7,3000,fast,1,1,1,5.23615357142857,"CC8,CC1,CC78,CC97,CC12,CC772/CC834,CC361/CC15,CC96,CC101","7,7,7,7,7,7,7,7,7",STR1037-030713,8/8,-,-,N,"",CC8,FALSE,TRUE
1,random_400,7,4000,fast,1,1,1,6.66611607142857,"CC8,CC1,CC78,CC97,CC12,CC772/CC834,CC361/CC15,CC96,CC101","7,7,7,7,7,7,7,7,7",STR1037-030713,8/8,-,-,N,"",CC8,FALSE,TRUE
1,random_400,7,5000,fast,1,1,1,8.00557607142857,"CC8,CC1,CC78,CC97,CC12,CC772/CC834,CC361/CC15,CC96,CC101","7,7,7,7,7,7,7,7,7",STR1037-030713,8/8,-,-,N,"",CC8,FALSE,TRUE
1,random_400,7,6000,fast,1,1,1,9.12389428571429,"CC8,CC1,CC78,CC97,CC12,CC772/CC834,CC361/CC15,CC96,CC101","7,7,7,7,7,7,7,7,7",STR1037-030713,8/8,-,-,N,"",CC8,FALSE,TRUE
1,random_400,7,7000,fast,1,1,1,11.0822728571429,"CC8,CC1,CC78,CC97,CC12,CC772/CC834,CC361/CC15,CC96,CC101","7,7,7,7,7,7,7,7,7",STR1037-030713,8/8,-,-,N,"",CC8,FALSE,TRUE
1,random_400,7,8000,fast,1,1,1,13.0191557142857,"CC8,CC1,CC78,CC97,CC12,CC772/CC834,CC361/CC15,CC96,CC101","7,7,7,7,7,7,7,7,7",STR1037-030713,8/8,-,-,N,"",CC8,FALSE,TRUE
1,non_random_200,7,1000,fast,0.510204081632653,0.714285714285714,0.714285714285714,1.64345678571429,"CC8,CC25,CC20","5,5,5",STR1037-030713,8/8,-,-,N,"",CC8,FALSE,TRUE
1,non_random_200,7,2000,fast,1,1,1,3.44701821428571,CC8,7,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,7,3000,fast,0.73469387755102,0.857142857142857,0.857142857142857,5.23615357142857,CC8,6,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,7,4000,fast,1,1,1,6.66611607142857,CC8,7,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,7,5000,fast,1,1,1,8.00557607142857,CC8,7,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,7,6000,fast,1,1,1,9.12389428571429,CC8,7,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,7,7000,fast,1,1,1,11.0822728571429,CC8,7,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,7,8000,fast,1,1,1,13.0191557142857,CC8,7,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,300,1000,fast,0.3965,0.61,0.65,1.64345678571429,CC8,183,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,300,2000,fast,0.704888888888889,0.813333333333333,0.866666666666667,3.44701821428571,CC8,244,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,300,3000,fast,0.7826,0.86,0.91,5.23615357142857,CC8,258,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,300,4000,fast,0.815466666666667,0.88,0.926666666666667,6.66611607142857,CC8,264,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,300,5000,fast,0.858311111111112,0.906666666666667,0.946666666666667,8.00557607142857,CC8,272,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,300,6000,fast,0.88,0.916666666666667,0.96,9.12389428571429,CC8,275,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,300,7000,fast,0.883055555555556,0.916666666666667,0.963333333333333,11.0822728571429,CC8,275,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,300,8000,fast,0.882888888888889,0.913333333333333,0.966666666666667,13.0191557142857,CC8,274,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,13,1000,fast,0.479289940828402,0.692307692307692,0.692307692307692,1.64345678571429,CC8,9,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,13,2000,fast,0.85207100591716,0.923076923076923,0.923076923076923,3.44701821428571,CC8,12,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,13,3000,fast,0.715976331360947,0.846153846153846,0.846153846153846,5.23615357142857,CC8,11,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,13,4000,fast,1,1,1,6.66611607142857,CC8,13,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,13,5000,fast,1,1,1,8.00557607142857,CC8,13,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,13,6000,fast,1,1,1,9.12389428571429,CC8,13,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,13,7000,fast,1,1,1,11.0822728571429,CC8,13,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,13,8000,fast,1,1,1,13.0191557142857,CC8,13,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,385,1000,fast,0.41298026648676,0.625974025974026,0.65974025974026,1.64345678571429,CC8,241,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,385,2000,fast,0.705548996458087,0.818181818181818,0.862337662337662,3.44701821428571,CC8,315,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,385,3000,fast,0.78866587957497,0.867532467532467,0.909090909090909,5.23615357142857,CC8,334,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,385,4000,fast,0.818998144712431,0.885714285714286,0.924675324675325,6.66611607142857,CC8,341,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,385,5000,fast,0.852339348962725,0.906493506493506,0.94025974025974,8.00557607142857,CC8,349,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,385,6000,fast,0.874015854275594,0.916883116883117,0.953246753246753,9.12389428571429,CC8,353,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,385,7000,fast,0.876397368864902,0.916883116883117,0.955844155844156,11.0822728571429,CC8,353,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,385,8000,fast,0.876289424860853,0.914285714285714,0.958441558441558,13.0191557142857,CC8,352,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,18,1000,fast,0.481481481481482,0.666666666666667,0.722222222222222,1.64345678571429,CC8,12,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,18,2000,fast,0.790123456790124,0.888888888888889,0.888888888888889,3.44701821428571,CC8,16,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,18,3000,fast,0.694444444444444,0.833333333333333,0.833333333333333,5.23615357142857,CC8,15,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,18,4000,fast,0.891975308641974,0.944444444444444,0.944444444444444,6.66611607142857,CC8,17,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,18,5000,fast,1,1,1,8.00557607142857,CC8,18,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,18,6000,fast,1,1,1,9.12389428571429,CC8,18,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,18,7000,fast,1,1,1,11.0822728571429,CC8,18,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,18,8000,fast,1,1,1,13.0191557142857,CC8,18,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,99,1000,fast,0.457606366697276,0.656565656565657,0.696969696969697,1.64345678571429,CC8,65,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,99,2000,fast,0.701969186817672,0.808080808080808,0.868686868686869,3.44701821428571,CC8,80,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,99,3000,fast,0.762167125803489,0.838383838383838,0.909090909090909,5.23615357142857,CC8,83,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
