barcode,n_reads,st,coverage,arcC,aroE,glpF,gmk,pta,tpi,yqiL,basecall_method
89,8000,ND,80.31,1,49*,837*,4*,662*,1,10,sup
89,9000,ND,80.31,1,49*,837*,4*,662*,1,10,sup
89,10000,ND,80.34,1,49*,837*,4*,662*,1,10,sup
90,1000,ND,24.37,132*,286*,"",1*,675*,927*,296*,sup
90,2000,ND,24.55,132*,345*,"",1*,632*,927*,296*,sup
90,3000,ND,26.12,132*,302*,"",1*,632*,1,296*,sup
90,4000,ND,40.55,132*,302*,"",1*,664*,1,296*,sup
90,5000,ND,69.37,484*,302*,2*,1*,1,1,1*,sup
90,6000,ND,69.37,484*,302*,2*,1*,1,1,1*,sup
90,7000,ND,69.50,484*,87*,2*,1*,1,1,1*,sup
90,8000,ND,79.89,1,87*,166*,1*,1,1,1*,sup
90,9000,ND,79.95,1,87*,166*,1*,1,1,1*,sup
90,10000,ND,80.44,1,87*,166*,1,1,1,1*,sup
